date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:16	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:16%20GMT	https://nikkhaharman.wixsite.com/rb_wixui.thunderbolt~bootstrap-responsive.9b4a379d.chunk.min.js	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/rb_wixui.thunderbolt_bootstrap-responsive.9b4a379d.chunk.min.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:17	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:16%20GMT	https://nikkhaharman.wixsite.com/rb_wixui.thunderbolt~bootstrap.8a86afda.chunk.min.css	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/rb_wixui.thunderbolt_bootstrap.8a86afda.chunk.min.css	(from https://nikkhaharman.wixsite.com/resume)
08:45:17	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202022%2005:15:16%20GMT	https://nikkhaharman.wixsite.com/rb_wixui.thunderbolt~bootstrap.de9c2975.chunk.min.js	C:/Users/Arman/Desktop/My%20resume/My%20resume/nikkhaharman.wixsite.com/rb_wixui.thunderbolt_bootstrap.de9c2975.chunk.min.js	(from https://nikkhaharman.wixsite.com/resume)
08:45:18	5113/5113	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:07:54%20GMT	https://static.wixstatic.com/media/5c4695_6d2eb90be24d49598f0d97246d24d6fc~mv2.jpg/v1/fill/w_213,h_120,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/istockphoto-1186031268-1024x1024.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/5c4695_6d2eb90be24d49598f0d97246d24d6fc_mv2.jpg/v1/fill/w_213,h_120,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/istockphoto-1186031268-1024x1024.jpg	(from https://nikkhaharman.wixsite.com/resume)
08:45:19	3051/3051	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:07:55%20GMT	https://static.wixstatic.com/media/5c4695_bd434c07e3074bec94fdb43c390899a6~mv2.jpg/v1/fill/w_123,h_80,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/5c4695_bd434c07e3074bec94fdb43c390899a6~mv2.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/5c4695_bd434c07e3074bec94fdb43c390899a6_mv2.jpg/v1/fill/w_123,h_80,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/5c4695_bd434c07e3074bec94fdb43c390899a6_mv2.jpg	(from https://nikkhaharman.wixsite.com/resume)
08:45:20	3714/3714	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:15:19%20GMT	https://static.wixstatic.com/media/5c4695_a88ec7ba387b4e06b21735c5f7554b0e~mv2.jpg/v1/crop/x_469,y_1682,w_2078,h_2078/fill/w_100,h_100,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/IMG_2079.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/5c4695_a88ec7ba387b4e06b21735c5f7554b0e_mv2.jpg/v1/crop/x_469,y_1682,w_2078,h_2078/fill/w_100,h_100,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/IMG_2079.jpg	(from https://nikkhaharman.wixsite.com/resume)
08:45:20	4410/4410	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:07:57%20GMT	https://static.wixstatic.com/media/nsplsh_b706d4894f5640ab935fd6403c491303~mv2.jpg/v1/fill/w_200,h_133,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/Image%20by%20Avel%20Chuklanov.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/nsplsh_b706d4894f5640ab935fd6403c491303_mv2.jpg/v1/fill/w_200,h_133,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/Image%20by%20Avel%20Chuklanov.jpg	(from https://nikkhaharman.wixsite.com/resume)
08:45:21	5798/5798	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:07:58%20GMT	https://static.wixstatic.com/media/nsplsh_2dca51f2c5c549298fa2f093cc829772~mv2.jpg/v1/fill/w_200,h_175,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/Image%20by%20Leon%20Wu.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/nsplsh_2dca51f2c5c549298fa2f093cc829772_mv2.jpg/v1/fill/w_200,h_175,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/Image%20by%20Leon%20Wu.jpg	(from https://nikkhaharman.wixsite.com/resume)
08:45:23	15319/15319	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202022%2005:15:22%20GMT	https://static.wixstatic.com/media/5c4695_6e306e7c785948308d4463d379e195de~mv2.png/v1/fill/w_113,h_63,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/5c4695_6e306e7c785948308d4463d379e195de~mv2.png	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/5c4695_6e306e7c785948308d4463d379e195de_mv2.png/v1/fill/w_113,h_63,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/5c4695_6e306e7c785948308d4463d379e195de_mv2.png	(from https://nikkhaharman.wixsite.com/resume)
08:45:24	2186/2186	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:08:00%20GMT	https://static.wixstatic.com/media/nsplsh_46692d474a614c52474b63~mv2_d_5534_3459_s_4_2.jpg/v1/fill/w_112,h_70,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_46692d474a614c52474b63~mv2_d_5534_3459_s_4_2.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/nsplsh_46692d474a614c52474b63_mv2_d_5534_3459_s/v1/fill/w_112,h_70,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/nsplsh_46692d474a614c52474b63_mv2_d_5534_3459_s_4_2.jpg	(from https://nikkhaharman.wixsite.com/resume)
08:45:25	2646/2646	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:08:01%20GMT	https://static.wixstatic.com/media/nsplsh_e8df2bc66555416ab866ddb3ea1b4d82~mv2.jpg/v1/fill/w_113,h_84,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_e8df2bc66555416ab866ddb3ea1b4d82~mv2.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/nsplsh_e8df2bc66555416ab866ddb3ea1b4d82_mv2.jpg/v1/fill/w_113,h_84,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_e8df2bc66555416ab866ddb3ea1b4d82_mv2.jpg	(from https://nikkhaharman.wixsite.com/resume)
08:45:26	15734/15734	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202022%2005:08:02%20GMT	https://static.wixstatic.com/media/5c4695_0975dc44ec5a4b93b06887ca844a3586~mv2.png/v1/fill/w_115,h_65,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/2.png	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/5c4695_0975dc44ec5a4b93b06887ca844a3586_mv2.png/v1/fill/w_115,h_65,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/2.png	(from https://nikkhaharman.wixsite.com/resume)
08:45:26	2065/2065	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:08:03%20GMT	https://static.wixstatic.com/media/nsplsh_684232705179466c655351~mv2_d_5472_3648_s_4_2.jpg/v1/fill/w_115,h_77,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Image%20by%20Thought%20Catalog.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/nsplsh_684232705179466c655351_mv2_d_5472_3648_s_4_2.jpg/v1/fill/w_115,h_77,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Image%20by%20Thought%20Catalog.jpg	(from https://nikkhaharman.wixsite.com/resume)
08:45:27	1530/1530	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Oct%202022%2005:15:27%20GMT	https://static.wixstatic.com/media/nsplsh_75314547667542346c6c55~mv2_d_3880_4982_s_4_2.jpg/v1/fill/w_73,h_94,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Image%20by%20Joshua%20Fuller.jpg	C:/Users/Arman/Desktop/My%20resume/My%20resume/static.wixstatic.com/media/nsplsh_75314547667542346c6c55_mv2_d_3880_4982_s_4_2.jpg/v1/fill/w_73,h_94,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Image%20by%20Joshua%20Fuller.jpg	(from https://nikkhaharman.wixsite.com/resume)
